HET,count
NAG,2252440
CLA,1619698
MSE,1241286
HEM,649374
PCW,450078
DPV,397749
FAD,347070
HEC,311456
ADP,275424
NAP,269998
MAN,268963
NAD,257329
ATP,220982
BCR,193476
CDL,185528
POV,182241
BMA,166059
BCL,139598
NDP,122809
LMT,115846
FMN,114636
GTP,114193
GDP,110955
DMS,109294
GLC,108582
CHL,107240
LHG,106701
COA,93810
CLR,89561
MLY,88372
LMG,79838
BGC,79786
ANP,77924
DOD,75237
HYP,75141
SAH,71110
MPD,69168
OLC,69060
DGD,66300
CYC,65601
SEP,61849
AGS,57567
PEE,57156
NAI,56741
UNL,55534
FUC,54879
AMP,52755
FOL,52300
GAL,49326
MES,49233
PGE,47838
PTR,46720
GNP,46464
TPO,46180
MXT,44400
PLP,44279
SQD,43799
CIT,43225
EPE,42138
PLM,42025
PTY,39709
PLC,39651
ACE,39461
LLP,38816
LCG,38313
OLA,37933
PGV,36017
ACO,35606
MYR,35141
SAM,34729
PSU,33560
BOG,33186
FMT,33088
TRS,32970
UDP,32230
LUT,31598
CGU,30578
PHO,30188
LDA,30074
HEA,29932
LFA,29907
SIA,29557
DAL,29204
DMU,27785
DPR,27731
PEB,26911
PCA,26702
GSH,26376
PLX,25251
MTN,25241
ALY,25156
KCX,24776
AIB,24771
CME,23661
TGL,23637
DLE,23522
SGN,22652
RET,22288
CHD,22187
FME,21626
ACP,21474
BPH,21065
TPP,20897
DLY,19926
IDS,19675
PEK,19625
MLE,19621
PGW,19037
RCY,19000
FDA,18794
DAR,18344
FLC,18334
ABA,18240
LBN,18237
DTP,18048
DVA,17766
CFL,17405
BTB,17309
PNS,17258
PIO,17223
FRU,17173
CSO,16930
TYS,16434
TRP,16432
IHP,16152
IMP,15953
ORN,15929
NLE,15719
XYP,15593
DPN,15471
DGT,15383
DGL,14955
XAT,14523
CSD,14504
IVM,14414
APR,13713
HTG,13700
IMD,13519
NDG,13503
MLI,13258
TLN,13180
OMG,12962
MGD,12826
CPS,12626
MRD,12557
BLA,12535
UMP,12486
FBP,12486
CRO,12480
OMC,12373
GSP,12342
TTP,12224
MVA,12021
GLU,11958
DTR,11813
BCB,11743
IGU,11727
FES,11611
DNR,11536
NCO,11514
PID,11334
LMU,11124
ACY,11098
CTP,11009
TLA,10997
OMU,10851
UPG,10833
PAR,10652
BME,10639
GFL,10586
AJP,10579
IPA,10574
APC,10383
HIC,10373
MYA,10242
ADN,10008
CAP,9888
CMP,9794
DBB,9626
DTH,9580
CPL,9572
BNG,9562
LCC,9547
UNX,9511
GLA,9324
NEX,9146
NGA,9141
CAS,9131
PQN,8822
DCZ,8672
SPO,8630
PEF,8592
DTY,8500
OCT,8430
RER,8422
MUB,8380
GHP,8323
UMQ,8320
HDD,8220
STE,8167
DSN,8132
ARG,8058
MTX,8016
BGM,7903
DAB,7840
AKG,7830
DCP,7788
UTP,7762
MLU,7686
LMN,7631
CRQ,7405
CRT,7388
GCP,7305
SRM,7253
NHE,7185
NRQ,7173
DGN,7168
DCY,7134
DOC,7134
PSC,7093
GLY,7057
DSG,7010
BRU,6846
DBU,6835
SFG,6689
TED,6680
THP,6654
LYR,6615
KPI,6461
LPE,6401
XCP,6390
HXG,6318
EVB,6245
POP,6194
BEN,6146
DAS,6127
OCS,6115
HEZ,6083
PHI,6068
BTN,6040
FUL,5981
SIN,5912
CSX,5864
LYS,5825
THM,5722
TYD,5721
MLZ,5720
IPH,5684
BPB,5606
PGT,5456
ZAE,5455
CAA,5454
CHO,5434
BER,5416
WVN,5400
SAR,5389
FGA,5333
CNC,5322
OGA,5299
OLB,5294
RBF,5209
DHI,5150
PCF,5130
HEB,5110
BDP,5099
PHE,5092
YCM,5067
DIO,5034
SPM,5013
MPG,5002
STU,4994
DIL,4983
GPN,4964
CPN,4938
CFZ,4934
CHR,4848
SCN,4843
DMF,4766
ATL,4760
FEC,4760
EOH,4703
LBV,4671
TOT,4600
RTL,4575
HAS,4571
OMY,4556
MTA,4555
XYS,4541
OMZ,4529
KGD,4469
BEZ,4462
ERG,4370
UFT,4370
FNR,4367
DGA,4354
DHA,4328
PBU,4321
ZNH,4309
ACD,4308
DUP,4284
RAP,4263
PRP,4234
CDP,4220
TCJ,4210
DAO,4209
PMP,4199
ADE,4199
NAJ,4180
SOG,4174
GDU,4165
DTT,4127
PGO,4100
GLN,4098
ERY,4090
ASP,4090
IRI,4064
OXL,4044
MLA,4036
CAC,3952
PYR,3945
IHT,3936
PCG,3893
HNI,3870
MPO,3832
MTE,3828
CBV,3827
NMY,3806
TMP,3791
TAF,3780
NHW,3776
BMT,3767
CSS,3743
UAR,3720
FTR,3716
BTI,3716
BCN,3715
MYS,3713
EAN,3700
RAM,3694
TAR,3659
DXC,3658
CXS,3655
EHZ,3611
LYC,3568
MCY,3568
GTA,3549
RHR,3540
NAZ,3540
LPP,3467
BEF,3460
QOJ,3444
COH,3439
ZEX,3422
PAM,3411
CYZ,3392
BVQ,3382
PRO,3375
PEV,3373
MEA,3372
MMA,3368
RIO,3319
BCT,3285
TRR,3280
SMC,3267
NAL,3249
LOP,3206
TPN,3181
HEX,3160
ROM,3150
PLG,3124
DND,3105
DDA,3105
IML,3099
TRD,3082
DHE,3074
UND,3069
XPE,3056
GYC,3045
DMY,3045
GDD,3034
TRT,3031
CBR,3026
UFP,3024
PEP,2982
MEN,2969
ZMP,2941
MHO,2938
EIC,2936
RXY,2928
PHL,2927
SMA,2909
BLM,2903
BEM,2903
SPD,2901
TYR,2886
GMP,2886
SIW,2862
MET,2856
NGH,2808
MGP,2800
ACA,2796
ROC,2793
NVA,2763
KAN,2746
RIM,2745
PSO,2697
QUE,2687
DKA,2651
MLT,2647
SAC,2644
MGE,2640
AZW,2640
ALC,2628
CYE,2604
PQQ,2601
SXO,2600
QBQ,2600
CCC,2597
GYS,2593
GBF,2592
HIS,2581
KDO,2571
PDU,2566
DIV,2565
EPH,2564
KDH,2553
URE,2549
ADA,2545
DMP,2530
BMP,2526
APN,2522
SVR,2514
SPN,2511
ADX,2511
HCA,2510
FTT,2503
KVY,2480
UGA,2479
LCA,2476
TAM,2475
DNE,2474
DDG,2468
QUA,2454
TCH,2444
AHR,2427
GCH,2417
CLF,2391
NMN,2386
DGP,2367
BIL,2364
DSA,2360
SXH,2360
PPV,2351
TTD,2343
TBG,2342
XGA,2340
GTX,2340
RRX,2329
TCY,2317
OXY,2317
SCA,2316
SLB,2316
STL,2313
PIA,2310
TPQ,2308
JOC,2300
UDX,2298
SPH,2292
COB,2287
PYB,2277
NXL,2276
AXT,2270
AAB,2262
GAI,2260
LEU,2257
MMO,2253
XTY,2240
CMO,2225
ORO,2219
LMR,2206
CHT,2205
FFO,2186
ACB,2185
MAA,2165
CCI,2151
TYC,2147
MGT,2143
OCA,2136
CVM,2125
SER,2104
BLB,2100
FPP,2087
AYA,2085
ALF,2085
CXM,2077
URI,2075
UIX,2068
LOC,2050
SRO,2045
MLC,2044
MND,2040
IAM,2040
FSC,2027
TCL,2023
AMU,2022
LWM,2014
ORP,2012
AZI,2010
ICS,2008
DUZ,1995
EPU,1980
VSZ,1976
GNS,1973
ALD,1964
DUT,1955
EST,1949
CMC,1946
CTG,1946
BEP,1938
ECH,1938
DQH,1938
IPE,1936
CRH,1932
BDF,1926
TRH,1925
ABU,1924
ZAB,1920
YOF,1910
CYS,1907
DCT,1907
OPC,1902
PKA,1890
TYQ,1887
DUR,1885
STI,1881
TFP,1876
HCS,1872
DAN,1869
HED,1862
PGA,1858
PGM,1850
NCZ,1848
OEX,1840
DTF,1840
TBR,1837
FGW,1837
GDS,1835
GTG,1820
FVA,1812
TUX,1810
SRA,1809
GPP,1801
MGR,1800
JNI,1794
PDO,1790
DBV,1788
BLR,1782
EDA,1775
ULW,1770
IAS,1766
EPJ,1765
HDE,1760
IWJ,1760
